year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Montana,Nebraska,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Wisconsin,Wyoming
1990,102.11666666666667,,107.70833333333333,70.77499999999999,822.9833333333333,98.69166666666666,140.35833333333332,24.475,483.58333333333337,201.51666666666665,29.941666666666666,23.608333333333334,400.45,192.5,,123.125,48.90833333333333,169.15,296.275,,185.55833333333334,195.31666666666666,28.866666666666667,57.416666666666664,271.26666666666665,675.8333333333334,183.79166666666666,30.458333333333332,421.0083333333333,109.11666666666666,96.71666666666667,518.4083333333333,44.68333333333334,166.3,498.4916666666667,45.375,22.15,177.6,155.19166666666666,,8.933333333333334
1991,109.14166666666667,,113.04166666666666,75.04166666666667,859.7083333333334,103.85833333333333,146.16666666666666,25.55,508.975,209.075,31.075,25.025,421.76666666666665,202.10833333333332,,131.425,50.93333333333334,177.175,303.075,,191.80833333333334,199.675,29.96666666666667,58.59166666666667,281.225,706.9916666666667,195.39166666666668,31.641666666666666,436.1166666666667,113.54166666666667,100.175,538.2083333333334,46.550000000000004,175.95833333333334,527.8583333333333,47.81666666666667,22.991666666666667,189.53333333333333,165.48333333333332,,9.691666666666666
1992,115.00833333333334,,117.78333333333333,79.85833333333333,886.4333333333334,109.27499999999999,150.51666666666668,26.650000000000002,531.6833333333334,219.53333333333333,31.941666666666666,27.075000000000003,436.4583333333333,212.53333333333333,,140.80833333333334,52.583333333333336,183.74166666666667,314.89166666666665,,197.71666666666667,205.575,31.366666666666667,60.400000000000006,292.2083333333333,724.9416666666666,208.29166666666666,32.80833333333333,454.64166666666665,117.86666666666667,102.275,560.0666666666666,48.69166666666667,185.35833333333332,555.1,50.775,23.808333333333334,197.93333333333334,173.16666666666666,,9.841666666666667
1993,119.75833333333334,,125.08333333333333,82.69166666666666,895.05,113.19166666666666,154,27.35,555.475,227.29166666666666,32.575,28.583333333333336,444.73333333333335,221.48333333333335,,148.24166666666667,54.675,191.15,326.8666666666667,,202.75,214.16666666666666,31.825,61.775,303.45,746.8166666666667,219.89166666666668,33.45,471.75,123.30833333333334,104.18333333333334,574.725,50.5,192.33333333333334,582.8166666666667,53.56666666666666,25.116666666666667,204.09166666666667,176.5,,10.033333333333333
1994,122.475,,131.575,85.29166666666667,903.5333333333333,119.175,161.025,28.308333333333334,585.0333333333333,234.775,33.175,29.608333333333334,450.6166666666667,227.14166666666668,,157.46666666666667,56.666666666666664,196.375,331.9583333333333,,204.41666666666669,223.75833333333333,33.05,63.7,312.44166666666666,765.35,229.74166666666665,33.65833333333333,481.1333333333333,127.54166666666666,106.45833333333333,580.4916666666667,51.050000000000004,198,606.1416666666667,55.4,26.083333333333332,209.58333333333334,179.11666666666667,,10.683333333333334
1995,127.26666666666667,,135.76666666666665,87.96666666666667,917.625,124.76666666666667,164.83333333333334,29.1,613.0333333333333,243.04166666666669,33.333333333333336,31.200000000000003,460.65,230.49166666666665,,162.66666666666666,57.7,202.59166666666667,344.45,,210.125,226.04166666666666,34.1,65.54166666666667,322.625,784.2666666666667,240.40833333333333,34.625,490.7,134.6,109.81666666666666,584.7333333333333,52.94166666666667,204.11666666666667,637.25,57.891666666666666,27.075,215.57500000000002,182.26666666666665,209.71666666666667,11.233333333333333
1996,130.51666666666665,,143.10833333333332,91.30833333333334,935.5416666666666,129.475,168.29166666666666,29.691666666666666,624.3916666666667,250.125,33.71666666666667,33.75,465.69166666666666,234.95833333333334,,165.76666666666665,59.24166666666667,207.28333333333333,348.7416666666667,,216.38333333333333,230.63333333333333,35.43333333333334,68.30833333333334,329.51666666666665,794.3916666666667,251.80833333333334,35.575,498.7,140.80833333333334,114.3,594.7916666666666,54.791666666666664,205.21666666666667,665.7166666666667,60.63333333333333,27.458333333333332,220.50833333333333,187.85833333333335,217.95833333333334,11.608333333333333
1997,136.73333333333332,,150.9,94.20833333333333,954.5666666666666,134.56666666666666,169.38333333333333,30.091666666666665,640.1666666666666,252.29166666666666,35.425,35.75,470.375,238.29999999999998,,168.36666666666667,61.70833333333333,211.61666666666667,349.0083333333333,,222.46666666666667,236.61666666666665,35.85,70.83333333333333,338.80833333333334,802.5083333333333,264.7583333333333,36.31666666666666,505.825,145.25833333333333,118.17500000000001,609.8333333333334,55.925000000000004,210.55833333333334,701.3666666666667,63.55,27.583333333333332,228.01666666666668,193.15833333333333,224.09166666666667,11.975
1998,136.65,,155.74166666666667,95.80833333333334,972.9166666666667,137.25833333333333,172.675,31.075000000000003,650.4666666666667,258.94166666666666,36.36666666666667,37.24166666666667,484.47499999999997,240.59166666666667,,165.51666666666665,64,216.64166666666668,348.39166666666665,,227.30833333333334,241.025,36.625,74.43333333333334,348.14166666666665,816.5166666666667,272.35833333333335,36.575,514.875,145.83333333333334,118.65833333333333,619.0833333333334,56.68333333333334,213.1,715.8083333333334,65.18333333333334,27.85,232.15833333333333,200.79166666666666,230.05,12.15
1999,134.36666666666667,,159.2,96.55833333333334,993.7083333333334,139.025,173.99166666666667,31.841666666666665,649.4583333333334,263.69166666666666,36.975,37.641666666666666,488.2083333333333,241.83333333333331,,165.09166666666667,65.70833333333333,218.26666666666665,346.1083333333333,,234.71666666666667,239.90833333333333,37.725,78.40833333333333,353.5333333333333,834.8,279.6583333333333,36.8,521.775,141.31666666666666,121.74166666666667,624.6583333333333,56.71666666666667,210.88333333333333,718.0166666666667,66.79166666666667,28.425,236.39166666666668,201.64166666666665,238.24166666666667,12.275
