year,month,state,health care,health care and social assistance,social assistance,health_care_total
1990,1,Alabama,NA,109.7,10.7,99
1990,1,Alaska,NA,NA,NA,NA
1990,1,Arizona,NA,119.9,14.4,105.5
1990,1,Arkansas,NA,80.1,11.8,68.3
1990,1,California,NA,947.1,146.8,800.3
1990,1,Colorado,NA,112.3,16.4,95.9
1990,1,Connecticut,NA,156,18.1,137.9
1990,1,Delaware,NA,27.9,4.4,23.5
1990,1,Florida,NA,534,63.3,470.7
1990,1,Georgia,NA,218.8,20.8,198
1990,1,Hawaii,NA,36.4,7.3,29.099999999999998
1990,1,Idaho,NA,25.8,3.2,22.6
1990,1,Illinois,NA,437.9,47.6,390.29999999999995
1990,1,Indiana,NA,210.3,24.1,186.20000000000002
1990,1,Kentucky,NA,129.3,NA,NA
1990,1,Louisiana,NA,131.7,13.5,118.19999999999999
1990,1,Maine,NA,54.2,6.1,48.1
1990,1,Maryland,NA,183.1,18.8,164.29999999999998
1990,1,Massachusetts,NA,330.4,40.8,289.59999999999997
1990,1,Michigan,NA,364,NA,NA
1990,1,Minnesota,NA,206.1,23.7,182.4
1990,1,Missouri,NA,209.6,19.7,189.9
1990,1,Montana,NA,31.8,3.7,28.1
1990,1,Nebraska,NA,61.4,5.1,56.3
1990,1,New Jersey,NA,297.1,32.2,264.90000000000003
1990,1,New York,NA,824.2,161.6,662.6
1990,1,North Carolina,NA,202.4,25.8,176.6
1990,1,North Dakota,NA,32.2,2.8,29.400000000000002
1990,1,Ohio,NA,455.6,44.5,411.1
1990,1,Oklahoma,NA,120.9,14.9,106
1990,1,Oregon,NA,111.1,17.2,93.89999999999999
1990,1,Pennsylvania,NA,561.9,54.9,507
1990,1,Rhode Island,NA,50.4,6.6,43.8
1990,1,Tennessee,NA,179.4,18.7,160.70000000000002
1990,1,Texas,NA,565.5,86.4,479.1
1990,1,Utah,NA,48.9,5.3,43.6
1990,1,Vermont,NA,24.5,2.8,21.7
1990,1,Virginia,NA,195.4,23.7,171.70000000000002
1990,1,Washington,NA,174,25.6,148.4
1990,1,Wisconsin,NA,205.1,NA,NA
1990,1,Wyoming,NA,11.4,2.6,8.8
1990,2,Alabama,NA,110.6,10.9,99.69999999999999
1990,2,Alaska,NA,NA,NA,NA
1990,2,Arizona,NA,121.1,14.8,106.3
1990,2,Arkansas,NA,80.9,12,68.9
1990,2,California,NA,954.4,148.9,805.5
1990,2,Colorado,NA,113.5,16.7,96.8
1990,2,Connecticut,NA,156.1,18.3,137.79999999999998
1990,2,Delaware,NA,28.2,4.5,23.7
1990,2,Florida,NA,538.2,64.2,474.00000000000006
1990,2,Georgia,NA,217.5,21.1,196.4
1990,2,Hawaii,NA,36.6,7.5,29.1
1990,2,Idaho,NA,26,3.2,22.8
1990,2,Illinois,NA,438.7,48.2,390.5
1990,2,Indiana,NA,211,23.9,187.1
1990,2,Kentucky,NA,130.2,NA,NA
1990,2,Louisiana,NA,132.5,13.7,118.8
1990,2,Maine,NA,54.2,6.1,48.1
1990,2,Maryland,NA,184.3,19.1,165.20000000000002
1990,2,Massachusetts,NA,332.8,41,291.8
1990,2,Michigan,NA,365.9,NA,NA
1990,2,Minnesota,NA,206.6,23.6,183
1990,2,Missouri,NA,211.2,20.1,191.1
1990,2,Montana,NA,31.9,3.7,28.2
1990,2,Nebraska,NA,61.6,5.2,56.4
1990,2,New Jersey,NA,299.6,32.5,267.1
1990,2,New York,NA,828.9,163.7,665.2
1990,2,North Carolina,NA,205,26.2,178.8
1990,2,North Dakota,NA,32.5,2.8,29.7
1990,2,Ohio,NA,458,45,413
1990,2,Oklahoma,NA,121.8,15.1,106.7
1990,2,Oregon,NA,111.7,17.5,94.2
1990,2,Pennsylvania,NA,563.4,55.3,508.09999999999997
1990,2,Rhode Island,NA,50.7,6.6,44.1
1990,2,Tennessee,NA,180.8,18.9,161.9
1990,2,Texas,NA,572.1,87.7,484.40000000000003
1990,2,Utah,NA,49.1,5.4,43.7
1990,2,Vermont,NA,24.6,2.8,21.8
1990,2,Virginia,NA,197.2,24,173.2
1990,2,Washington,NA,176.5,25.9,150.6
1990,2,Wisconsin,NA,206.2,NA,NA
1990,2,Wyoming,NA,11.3,2.6,8.700000000000001
1990,3,Alabama,NA,111,11,100
1990,3,Alaska,NA,NA,NA,NA
1990,3,Arizona,NA,121.9,15,106.9
1990,3,Arkansas,NA,81.1,12.2,68.89999999999999
1990,3,California,NA,960.4,149.6,810.8
1990,3,Colorado,NA,114.2,16.9,97.30000000000001
1990,3,Connecticut,NA,157.2,18.6,138.6
1990,3,Delaware,NA,28.6,4.5,24.1
1990,3,Florida,NA,542.2,65,477.20000000000005
1990,3,Georgia,NA,219.4,21.4,198
1990,3,Hawaii,NA,36.9,7.6,29.299999999999997
1990,3,Idaho,NA,26.2,3.2,23
1990,3,Illinois,NA,441.9,48.8,393.09999999999997
1990,3,Indiana,NA,212.3,24.1,188.20000000000002
1990,3,Kentucky,NA,131.1,NA,NA
1990,3,Louisiana,NA,133.4,13.8,119.60000000000001
1990,3,Maine,NA,54.5,6.2,48.3
